^PLATFORM = GPL14
!Platform_title = ce_rosetta
!Platform_geo_accession = GPL14
!Platform_status = Public on Jul 24 2001
!Platform_submission_date = Jul 24 2001
!Platform_last_update_date = May 26 2005
!Platform_technology = spotted DNA/cDNA
!Platform_distribution = non-commercial
!Platform_organism = Caenorhabditis elegans
!Platform_taxid = 6239
!Platform_description = A microarray with 13323 spot features.
!Platform_description = Tip Configuration: Standard 1-tip
!Platform_description = Columns per Sector: 1
!Platform_description = Rows per Sector: 1
!Platform_description = Column Spacing: 1.1
!Platform_description = Row Spacing: 1.1
!Platform_contact_name = ,,Stanford Microarray Database
!Platform_contact_email = array@genome.stanford.edu
!Platform_contact_phone = 650-498-6012
!Platform_contact_department = Stanford University, School of Medicine
!Platform_contact_institute = Stanford Microarray Database (SMD)
!Platform_contact_address = 300 Pasteur Drive
!Platform_contact_city = Stanford
!Platform_contact_state = CA
!Platform_contact_zip/postal_code = 94305
!Platform_contact_country = USA
!Platform_contact_web_link = http://genome-www5.stanford.edu/
!Platform_sample_id = GSM436
!Platform_sample_id = GSM437
!Platform_sample_id = GSM438
!Platform_sample_id = GSM439
!Platform_sample_id = GSM440
!Platform_sample_id = GSM441
!Platform_sample_id = GSM442
!Platform_sample_id = GSM443
!Platform_sample_id = GSM444
!Platform_sample_id = GSM445
!Platform_sample_id = GSM446
!Platform_sample_id = GSM447
!Platform_sample_id = GSM448
!Platform_sample_id = GSM449
!Platform_sample_id = GSM450
!Platform_sample_id = GSM451
!Platform_sample_id = GSM452
!Platform_sample_id = GSM453
!Platform_sample_id = GSM454
!Platform_sample_id = GSM455
!Platform_sample_id = GSM456
!Platform_sample_id = GSM457
!Platform_sample_id = GSM458
!Platform_sample_id = GSM459
!Platform_sample_id = GSM460
!Platform_sample_id = GSM461
!Platform_sample_id = GSM462
!Platform_sample_id = GSM463
!Platform_sample_id = GSM464
!Platform_sample_id = GSM465
!Platform_sample_id = GSM466
!Platform_sample_id = GSM467
!Platform_sample_id = GSM468
!Platform_sample_id = GSM469
!Platform_sample_id = GSM211535
!Platform_sample_id = GSM211537
!Platform_sample_id = GSM211538
!Platform_series_id = GSE5
!Platform_series_id = GSE8520
!Platform_data_row_count = 13323
#ID = 
#ORF = name of spot
#Description = description of spot
#Chromosome = chromosome
#Position = position
#Gene name = gene name
#SECTOR = spot sector grid coordinate
#SECTORROW = spot row grid coordinate
#SECTORCOL = spot column grid coordinate
#PLATE = clone plate identifier
#PROW = clone plate row
#PCOL = clone plate column
#FAILED = 
#IS_CONTAMINATED = 
!platform_table_begin
ID	ORF	Description	Chromosome	Position	Gene name	SECTOR	SECTORROW	SECTORCOL	PLATE	PROW	PCOL	FAILED	IS_CONTAMINATED
83	C14C10.4	Protein of unknown function	5	12541820	C14C10.4	1	1	1	1	D	11	0	U
84	C14C10.5	Member of an uncharacterized protein family	5	12549345	C14C10.5	1	1	1	1	D	12	0	U
85	C14H10.3	"Protein with a terminase domain, has strong similarity (25% identity over 746 residues) to H. sapiens Hs.170218 gene product [Human mRNA for KIAA0251 gene (GenBank)]"	X	9974684	C14H10.3	1	1	1	1	D	13	0	U
86	C15C8.3	Member of the protease protein family	5	12691130	C15C8.3	1	1	1	1	D	14	0	U
87	C15H11.4	"Protein contains a putative short chain dehydrogenase domain, has strong similarity to C. elegans E04F6.7 protein"	5	14369327	C15H11.4	1	1	1	1	D	15	0	U
88	C15H11.9	"Protein with strong similarity to human Hs.71827 gene product, protein KIAA0112 isolated from cell line KG-1 cDNA library"	5	14373023	C15H11.9	1	1	1	1	D	16	0	U
89	C16C2.2	Putative regulator of G-protein signalling	1	9054537	eat-16/C16C2.2	1	1	1	1	D	17	0	U
90	C16C10.3	"Piwi-related protein with similarity over the C-terminal region to human and D. melanogaster PIWI proteins and C. elegans PRG-1 and PRG-2, all of which are involved in germ-line proliferation"	3	3609989	C16C10.3	1	1	1	1	D	18	0	U
91	C16C10.6	"Protein with weak similarity to C. elegans unc-89 (Muscle cell protein of the immunoglobin-like protein family, required for coordinated locomotion)"	3	3604271	C16C10.6	1	1	1	1	D	19	0	U
92	C17E4.3	Protein with weak similarity to C. elegans D2089.2 gene product	1	8748637	C17E4.3	1	1	1	1	D	20	0	U
93	C17H1.1	Putative paralog of C. elegans C17H1.4 protein	1	12308105	C17H1.1	1	1	1	1	D	21	0	U
94	C18D4.1	"Protein with strong similarity at the N-terminus to C. elegans K10G4.5, has similarity to G-protein coupled receptors"	5	17445514	C18D4.1	1	1	1	1	D	22	2	U
95	C18E9.3	"Protein of unknown function, has weak similarity to C. elegans F40F11.2"	2	8958659	C18E9.3	1	1	1	1	D	23	0	U
96	C18E9.8	Protein of unknown function	2	8977481	C18E9.8	1	1	1	1	D	24	0	U
97	C23H4.6	"Putative coiled-coil protein, has strong similarity to S. cerevisiae Rhc18p, a protein involved in recombination repair"	X	11981113	C23H4.6	1	1	1	1	E	1	0	U
98	C25A1.9	Protein with similarity over the C-terminus to human protein phosphatase 2 regulatory subunit PPP2R3	1	9517611	C25A1.9	1	1	1	1	E	2	0	U
99	C25D7.2	Putative paralog of C. elegans F21H7.5 gene product	5	14961978	C25D7.2	1	1	1	1	E	3	0	U
100	C25D7.8	Protein of unknown function	5	14990493	C25D7.8	1	1	1	1	E	4	0	U
101	C25G4.6	"Protein containing a PDZ domain, putative paralog of C. elegans T21G5.4"	4	12250902	C25G4.6	1	1	1	1	E	5	0	U
102	C26D10.1	"Protein with strong similarity to RCC1 (regulator of chromosome condensation) proteins of human, D. melanogaster, and S. cerevisiae"	2	8314538	C26D10.1	1	1	1	1	E	6	0	U
103	C26D10.3	Protein with weak similarity to C. elegans F20D6.11	2	8316942	C26D10.3	1	1	1	1	E	7	0	U
104	C26D10.6	Protein of unknown function	2	8342166	C26D10.6	1	1	1	1	E	8	0	U
105	C27A7.6	Member of an uncharacterized protein family	5	12074210	C27A7.6	1	1	1	1	E	9	0	U
106	C27B7.5	Protein containing a zinc finger domain of the CCHC type	4	8492575	C27B7.5	1	1	1	1	E	10	0	U
107	C27C12.3	"Protein of unknown function, putative paralog of C. elegans F31F6.1"	X	14601614	C27C12.3	1	1	1	1	E	11	0	U
108	C27H6.3	"Protein of unknown function, has weak similarity to C. elegans F36H12.2"	5	9930454	C27H6.3	1	1	1	1	E	12	1	U
109	C29A12.3	Member of the DNA ligase protein family	5	10762949	C29A12.3	1	1	1	1	E	13	0	U
110	C29E6.2	"Protein with ankyrin repeats, has strong similarity to human ankyrins"	4	11451827	C29E6.2	1	1	1	1	E	14	0	U
111	C29E6.5	"Protein with two predicted C4 zinc-finger domains, has moderate similarity to H. sapiens RARG gene product, retinoic acid receptor gamma"	4	11486515	C29E6.5	1	1	1	1	E	15	2	U
112	C29E6.6	Member of the transposase protein family	4	11456399	C29E6.6	1	1	1	1	E	16	0	U
113	C29F3.7	Member of an uncharacterized protein family	5	15279199	C29F3.7	1	1	1	1	E	17	0	U
114	C31A11.2	Member of the transposase protein family	5	16220023	C31A11.2	1	1	1	1	E	18	0	U
115	C31A11.4	"G-protein coupled receptor of an unnamed subfamily, no homolog found in human or D. melanogaster"	5	16224757	C31A11.4	1	1	1	1	E	19	0	U
116	C31A11.5	"G-protein coupled receptor, member of unnamed subfamily with distant homology to SRG subfamily, no homolog found in human or D. melanogaster"	5	16226950	C31A11.5	1	1	1	1	E	20	0	U
117	C31A11.7	"G-protein coupled receptor, member of unnamed subfamily with distant homology to SRG subfamily, no homolog found in human or D. melanogaster"	5	16234110	C31A11.7	1	1	1	1	E	21	0	U
118	C31A11.8	TcA transposase	5	16236480	C31A11.8	1	1	1	1	E	22	2	U
119	C31C9.5	"Putative reverse transcriptase, has similarity to several C. elegans proteins of the reverse transcriptase family"	2	13461440	C31C9.5	1	1	1	1	E	23	0	U
120	C31E10.3	Member of an uncharacterized protein family	X	13732103	C31E10.3	1	1	1	1	E	24	0	U
121	C33A12.6	Member of the UDP-glucuronosyltransferase protein family	4	9091363	C33A12.6	1	1	1	1	F	1	0	U
122	C33A12.13	"G-protein coupled receptor, member of unnamed subfamily with distant homology to SRG subfamily, no homolog found in human or D. melanogaster"	4	9077309	C33A12.13	1	1	1	1	F	2	0	U
123	C33D9.1	"Putative RhoGEF domain protein, putative ortholog of H. sapiens FGD1 gene product [faciogenital dysplasia (Aarskog-Scott syndrome) (609623, GenBank)]"	4	8390383	C33D9.1	1	1	1	1	F	3	0	U
124	C33G3.4	"Putative mannosidase, putative ortholog of H. sapiens Hs.115945 gene product [Homo sapiens beta-mannosidase mRNA, complete cds (GenBank)]"	X	13816690	C33G3.4	1	1	1	1	F	4	0	U
125	C33G3.5	"Protein of unknown function, has moderate similarity to C. elegans F18E9.7"	X	13821807	C33G3.5	1	1	1	1	F	5	0	U
126	C34B7.1	"Putative ortholog of S. cerevisiae Esa1p, a histone acetyltransferase and member of the MYST family"	1	7663695	C34B7.1	1	1	1	1	F	6	0	U
127	C34B7.2	"Putative ortholog of S. cerevisiae Fig4p, a protein induced during the yeast mating response"	1	7669680	C34B7.2	1	1	1	1	F	7	0	U
128	C34C12.1	Putative paralog of C. elegans Y47H9C.9 gene product	3	2891580	C34C12.1	1	1	1	1	F	8	0	U
129	C34F6.2	"Putative paralog of C. elegans C34F6.3, a putative collagen"	X	10952973	C34F6.2	1	1	1	1	F	9	0	U
130	C34F6.3	"Putative paralog of C. elegans C34F6.2, a putative collagen"	X	10955036	C34F6.3	1	1	1	1	F	10	0	U
131	C35A5.2	Member of the UDP-glucuronosyltransferase protein family	5	10442470	C35A5.2	1	1	1	1	F	11	0	U
132	C35A5.3	Protein with similarity to human and D. melanogaster sodium-dependent inorganic phosphate cotransporters	5	10448568	C35A5.3	1	1	1	1	F	12	0	U
133	C35A5.5	"Protein of unknown function, putative paralog of C. elegans K02H11.4"	5	10453565	C35A5.5	1	1	1	1	F	13	0	U
134	C36A4.9	Member of the acetyl-CoA synthetase protein family	3	3301732	C36A4.9	1	1	1	1	F	14	0	U
135	C36B1.9	Protein with weak similarity to H. sapiens HT2A	1	8076548	C36B1.9	1	1	1	1	F	15	0	U
136	C36F7.5	Member of an uncharacterized protein family	1	8906539	C36F7.5	1	1	1	1	F	16	2	U
137	C36H8.1	"Protein with strong similarity to members of the major sperm-specific protein (MSP) family, longer than typical MSP proteins"	4	12539408	C36H8.1	1	1	1	1	F	17	0	U
138	C37G2.1					1	1	1	1	F	18	2	U
139	C38C10.2	Protein with similarity to human and D. melanogaster sodium-dependent inorganic phosphate cotransporters	3	8828285	C38C10.2	1	1	1	1	F	19	0	U
140	C39E9.10	Putative paralog of C. elegans F09A5.1 gene product	4	12883319	C39E9.10	1	1	1	1	F	20	0	U
141	C39E9.12	Protein of unknown function	4	12890218	C39E9.12	1	1	1	1	F	21	0	U
142	C39E9.14	"Putative dynein, protein with strong similarity to human Hs.194625, dynein light intermediate chain 2 (LIC2)"	4	12893544	C39E9.14	1	1	1	1	F	22	0	U
143	C40H5.3	"Protein of unknown function, putative paralog of C. elegans D1053.4"	X	11512778	C40H5.3	1	1	1	1	F	23	0	U
144	C41C4.3	"Protein of unknown function, contains leucine-rich repeats, has weak similarity to human GP5 (platelet glycoprotein V)"	2	8100461	C41C4.3	1	1	1	1	F	24	0	U
145	C41C4.7	"Putative cystinosin, protein with strong similarity to human Hs.64837, cystinosin, integral membrane protein mutated in nephropathic cystinosis"	2	8126354	C41C4.7	1	1	1	1	G	1	0	U
146	C41G6.2	"G-protein coupled receptor of unknown function, no homolog found in human or D. melanogaster"	5	15161918	C41G6.2	1	1	1	1	G	2	1	U
147	C41G7.4	"Protein of unknown function, putative paralog of C. elegans Y24D9A_29.G"	1	8851371	C41G7.4	1	1	1	1	G	3	1	U
148	C44B9.2	Protein of unknown function	3	10315842	C44B9.2	1	1	1	1	G	4	0	U
149	C44C10.4	"Putative coiled-coil protein, has similarity to S. cerevisiae Smc1p, a protein involved in chromosome condensation and segregation"	X	11446980	C44C10.4	1	1	1	1	G	5	0	U
150	C44H4.3	"Protein required for attachment of body muscle to cuticle in absence of MEC-8, member of the leucine rich repeat (LRR) protein family"	X	14320393	sym-1/C44H4.3	1	1	1	1	G	6	0	U
151	C44H4.4	"Protein of unknown function, has similarity over the N-terminus to S. cerevisiae Vps13p"	X	14323679	C44H4.4	1	1	1	1	G	7	0	U
152	C44H4.7	"Protein of unknown function, has similarity over a region of the N-terminus to a region of S. cerevisiae mucin Muc1p"	X	14341687	C44H4.7	1	1	1	1	G	8	0	U
153	C44H9.2	"Protein of unknown function, putative paralog of C. elegans C44H9.4"	5	12779924	C44H9.2	1	1	1	1	G	9	0	U
154	C44H9.4	"Protein with moderate similarity to helicases, putative paralog of C. elegans C44H9.2 and C. elegans C05C10.2"	5	12784767	C44H9.4	1	1	1	1	G	10	0	U
155	C47A10.1	"Probable membrane transporter of the ATP-binding cassette (ABC) superfamily, has strong similarity to human multidrug resistance proteins PGY1 and PGY3, has strong similarity to D. melanogaster multidrug resistance proteins MDR49 and MDR65"	5	17664168	C47A10.1	1	1	1	1	G	11	0	U
156	C47B2.3	Alpha tubulin	1	12162269	tba-2/alpha-2/C47B2.3	1	1	1	1	G	12	0	U
157	C47D12.1	"Putative ortholog of human TRRAP, a essential cofactor for oncogenic transcription pathways"	2	11635782	C47D12.1	1	1	1	1	G	13	0	U
158	C47E8.7	Ortholog of human mitogen inducible gene MIG-2 (Hs.75260)	5	14637416	unc-112/C47E8.7	1	1	1	1	G	14	0	U
159	C47E12.1	"Member of the tRNA synthetase, seryl protein family"	4	9594786	C47E12.1	1	1	1	1	G	15	0	U
160	C47E12.7	"Protein with similarity to human NNP-1/NOP52, novel nucleolar protein"	4	9571875	C47E12.7	1	1	1	1	G	16	0	U
161	C47E12.8	"Putative dihydropyrimidinase, has strong similarity to C. elegans R06C7.3 and several human dihydropyrimidinases"	4	9569218	UlipA/C47E12.8	1	1	1	1	G	17	0	U
