^PLATFORM = GPL12
!Platform_title = Stanford Zea mays
!Platform_geo_accession = GPL12
!Platform_status = Public on Oct 09 2001
!Platform_submission_date = Jun 11 2001
!Platform_last_update_date = May 26 2005
!Platform_technology = spotted DNA/cDNA
!Platform_distribution = non-commercial
!Platform_organism = Zea mays
!Platform_taxid = 4577
!Platform_description = A maize array fabricated with 5,376 unique expressed sequence tag (EST) clones sequenced from 4-day-old roots, immature ears and adult organ cDNA libraries.
!Platform_description = mRNA source: Zea mays strain with genetic background K55 (75%), W23 (20%), Robertson's Mutator (5%).
!Platform_web_link = http://zmdb.iastate.edu/
!Platform_pubmed_id = 12225584
!Platform_contributor = Yangrae,,Cho
!Platform_contributor = Virginia ,,Walbot
!Platform_contact_name = Yangrae,,Cho
!Platform_contact_email = yacho@sequence.stanford.edu
!Platform_contact_phone = 650-812-1976
!Platform_contact_fax = 650-812-1975
!Platform_contact_laboratory = V. Walbot
!Platform_contact_department = Biological Sciences
!Platform_contact_institute = Stanford University
!Platform_contact_address = 385 Serra Mall
!Platform_contact_city = Stanford University
!Platform_contact_state = CA
!Platform_contact_zip/postal_code = 94305-8221
!Platform_contact_country = USA
!Platform_sample_id = GSM57
!Platform_sample_id = GSM58
!Platform_sample_id = GSM59
!Platform_sample_id = GSM60
!Platform_sample_id = GSM61
!Platform_sample_id = GSM62
!Platform_sample_id = GSM63
!Platform_sample_id = GSM64
!Platform_sample_id = GSM65
!Platform_sample_id = GSM66
!Platform_sample_id = GSM67
!Platform_sample_id = GSM68
!Platform_sample_id = GSM69
!Platform_sample_id = GSM70
!Platform_sample_id = GSM71
!Platform_sample_id = GSM72
!Platform_sample_id = GSM73
!Platform_sample_id = GSM74
!Platform_sample_id = GSM75
!Platform_sample_id = GSM76
!Platform_sample_id = GSM77
!Platform_sample_id = GSM78
!Platform_sample_id = GSM79
!Platform_sample_id = GSM80
!Platform_series_id = GSE141
!Platform_data_row_count = 5760
#ID = 
#Homologs PID-1 = Top matching sequences to GenBank on March 1, 2001
#Homologs PID-2 = Top matching sequences to GenBank on March 1, 2001
#Homologs PID-3 = Top matching sequences to GenBank on March 1, 2001
#SPOT_ID = Spot identifier
!platform_table_begin
ID	Homologs PID-1	Homologs PID-2	Homologs PID-3	SPOT_ID
707003F02.x3	Homolog PID: 8307828 pathogenesis-related protein [Oryza sativa]	Homolog PID: 10645517 unknown protein 15087-14605	Homolog PID: 9294357 contains similarity to unknow [Arabido	707003F02.x3
707003D10.x3	Homolog PID: 7920155 tapetum-specific endoxylanase [Zea mays]	Homolog PID: 3885492 tapetum specific protein [Zea mays]	Homolog PID: 7270333 putative protein [Arabidopsis thaliana	707003D10.x3
707004G05.y1	Homolog PID: 9802566 F22O13.28 [Arabidopsis thaliana]	Homolog PID: 6175172 hypothetical protein [Arabidopsis thaliana]		707004G05.y1
707004C12.x2				707004C12.x2
707029B07.x1				707029B07.x1
707030A04.x2				707030A04.x2
707031E02.x2	Homolog PID: 7362763 dTDP-glucose 4-6-dehydratase hom... [Arabidopsis thaliana]	Homolog PID: 928932 homolog of dTDP-glucose 4-6-dehy... [Arabidopsis thaliana]		707031E02.x2
707032A04.x1	Homolog PID: 1762309 AP-1 Golgi-related complex compo... [Camptotheca acuminata]	Homolog PID: 2262169 clathrin assembly protein AP19, ... [Arabidopsis thaliana]		707032A04.x1
707033A06.x3	Homolog PID: 11072018 F12A21.27 [Arabidopsis thaliana]			707033A06.x3
707034G04.x3	Homolog PID: 168548 putative. similar to brain speci... [Zea mays]	Homolog PID: 1519253 GF14-d protein [Oryza sativa]	Homolog PID: 9798603 TaWIN1 [Triticum aestivum]	707034G04.x3
707029H08.x2	Homolog PID: 4580389 legumin-like protein [Arabidopsis thaliana]	Homolog PID: 8439891 Contains similarity to 12S seed ... [Arabidopsis thaliana]		707029H08.x2
707030C05.x2				707030C05.x2
707031A04.x2	Homolog PID: 6453898 hypothetical protein 86186-84430	Homolog PID: 6175149 hypothetical protein 68316-70072	Homolog PID: 7225642 conserved hypothetical protein       Neisseria [mening	707031A04.x2
707032G04.x1	Homolog PID: 6318246 UCP [Solanum tuberosum]	Homolog PID: 2398829 mitochondrial uncoupling protein [Solanum tuberosum]	Homolog PID: 7106157 SfUCPa [Symplocarpus renifolius]	707032G04.x1
707033C09.x3				707033C09.x3
707034C08.x3				707034C08.x3
707029D09.x1	Homolog PID: 4218535 GRAB1 protein [Triticum sp]	Homolog PID: 6732158 unnamed protein product [Triticum monococcum]		707029D09.x1
707030A07.x2				707030A07.x2
707031G04.x2	Homolog PID: 666089 p-(S)-hydroxymandelonitrile lyase [Sorghum bicolor]	Homolog PID: 7670042 serine carboxypeptidase II-like ... [Arabidopsis thaliana]		707031G04.x2
707032C07.x1	Homolog PID: 7649159 histone H2A [Euphorbia esula]	Homolog PID: 6009909 histone H2A-like protein [Solanum melongena]	Homolog PID: 473603 histone H2A [Zea mays]	707032C07.x1
707033G09.x3				707033G09.x3
707034D10.x3	Homolog PID: 1370146 RAB11C [Lotus japonicus]	Homolog PID: 5541676 Rab11 protein [Arabidopsis thaliana]	Homolog PID: 2598229 Rab11 protein [Arabidopsis thaliana]	707034D10.x3
707029D10.x2	Homolog PID: 313724 hydroxymethylbilane synthase [Pisum sativum]	Homolog PID: 10178270 hydroxymethylbilane synthase [Arabidopsis thaliana]	Homolog PID: 313838 hydroxymethylbil	707029D10.x2
707030G07.x2	Homolog PID: 1008922 cystatin II [Zea mays]	Homolog PID: 809576 cysteine proteinase inhibitor [Sorghum bicolor]	Homolog PID: 809608 cysteine proteinase inhibitor [Zea mays]	707030G07.x2
707031E06.x2	Homolog PID: 4567207 unknown protein [Arabidopsis thaliana]	Homolog PID: 7270957 putative protein [Arabidopsis thaliana]	Homolog PID: 3080442 putative protein [Arabidopsis thaliana	707031E06.x2
707032A09.x1				707032A09.x1
707033G10.x3	Homolog PID: 10177926 gene_id:MCA23.24~unknown protein [Arabidopsis thaliana]			707033G10.x3
707034D11.x3				707034D11.x3
707051C06.y1	Homolog PID: 4104972 spermidine synthase 1 [Pisum sativum]	Homolog PID: 1561577 spermidine synthase 1 [Datura stramonium]	Homolog PID: 2821957 spermidine synthase 2 [Hyoscyamus nige	707051C06.y1
707052C01.y1				707052C01.y1
707052A07.y1	Homolog PID: 763035 glyceraldehyde-3-phosphate dehyd... [Zea mays]	Homolog PID: 168479 glyceraldehyde-3-phosphate dehyd... [Zea mays]	Homolog PID: 22240 GADPH [Zea mays]	707052A07.y1
707052A12.y1	Homolog PID: 3757523 putative transportin [Arabidopsis thaliana]	Homolog PID: 3757528 putative importin, beta subunit [Arabidopsis thaliana]	Homolog PID: 7295356 Trn gene prod	707052A12.y1
707053D10.y1	Homolog PID: 4588376 galactinol synthase [Brassica napus]	Homolog PID: 2275196 putative galactinol synthase [Arabidopsis thaliana]	Homolog PID: 537404 WSI76 protein induced by water 	707053D10.y1
707054H07.x1	Homolog PID: 8778289 F14D16.29 [Arabidopsis thaliana]	Homolog PID: 1651934 hypothetical protein [Synechocystis sp]		707054H07.x1
707051E07.y1	Homolog PID: 7549632 acetyl-coA dehydrogenase, putative [Arabidopsis thaliana]			707051E07.y1
707052F02.y1				707052F02.y1
707052G07.x1	Homolog PID: 7523399 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 3075389 hypothetical protein [Arabidopsis thaliana]		707052G07.x1
707052G12.y1				707052G12.y1
707053H12.y1				707053H12.y1
707054B09.x1				707054B09.x1
707051E08.y1				707051E08.y1
707052F03.y1	Homolog PID: 3047098 similar to eukaryotic protein ki... [Arabidopsis thaliana]	Homolog PID: 10178101 receptor-like protein kinase [Arabidopsis thaliana]		707052F03.y1
707052E08.y1	Homolog PID: 8843854 gene_id:MWD22.12~pir||T00623~sim...	Homolog PID: 7269428 putative protein [Arabidopsis thaliana]	Homolog PID: 4539295 putative protein [Arabidopsis thaliana]	707052E08.y1
707053D02.y1				707053D02.y1
707054F02.x1				707054F02.x1
707054D10.y1	Homolog PID: 2293568 HvB12D homolog [Oryza sativa]	Homolog PID: 4530585 B12D protein [Ipomoea batatas]	Homolog PID: 5541720 B12D-like protein [Arabidopsis thaliana]	707054D10.y1
707051D09.y1	Homolog PID: 8979718 putative protein [Arabidopsis thaliana]	Homolog PID: 4115377 putative multispanning membrane ... [Arabidopsis thaliana]	Homolog PID: 9294023 multispanning mem	707051D09.y1
707052A04.y1				707052A04.y1
707052C09.y1				707052C09.y1
707053G03.y1				707053G03.y1
707054E04.x1	Homolog PID: 10176913 GTP-binding protein, ras-like [Arabidopsis thaliana]	Homolog PID: 8777489 GTP-binding protein-like [Arabidopsis thaliana]	Homolog PID: 452357 g	707054E04.x1
707054H10.y1	Homolog PID: 2088722 strong similarity to the L30P fa... [Caenorhabditis elegans]	Homolog PID: 7297615 RpL7 gene product [Drosophila melanogaster]		707054H10.y1
707071E02.x1				707071E02.x1
707072D04.x1	Homolog PID: 3763932 putative protein kinase [Arabidopsis thaliana]	Homolog PID: 7801685 protein kinase-like protein [Arabidopsis thaliana]	Homolog PID: 2880051 putative pr	707072D04.x1
707074E03.x1				707074E03.x1
707074C10.x1	Homolog PID: 2511531 alpha tubulin 1 [Eleusine indica]	Homolog PID: 4165488 alpha-tubulin 3 [Hordeum vulgare]	Homolog PID: 22147 alpha1-tubulin [Zea mays]	707074C10.x1
707077D10.x1				707077D10.x1
707078G07.x1	Homolog PID: 553073 reverse transcriptase [Zea mays]	Homolog PID: 10140760 putative gag/pol polyprotein [Oryza sativa]	Homolog PID: 11386296 putative copia-like retrotranspo... [Oryza sat	707078G07.x1
707071F04.x1	Homolog PID: 7269926 putative protein [Arabidopsis thaliana]	Homolog PID: 5730136 putative protein [Arabidopsis thaliana]	Homolog PID: 4185150 unknown protein [Arabidopsis thalian	707071F04.x1
707072B06.x1	Homolog PID: 6967112 putative protein [Arabidopsis thaliana]	Homolog PID: 9757943 emb|CAB72466.1~gene_id:MJC20.8~s...	Homolog PID: 2739387 En/Spm-like transposon protein [Arabidop	707072B06.x1
707074A04.x1				707074A04.x1
707074F12.x1	Homolog PID: 5731354 cysteine protease Mir1 [Zea mays]	Homolog PID: 4731372 papain-like cysteine protease [Sandersonia aurantiaca]	Homolog PID: 9757832 cysteine protease component of p.	707074F12.x1
707078D02.x1	Homolog PID: 6552728 T26F17.1 [Arabidopsis thaliana]	Homolog PID: 5263332 F8K7.23 [Arabidopsis thaliana]		707078D02.x1
707078A09.x1				707078A09.x1
707071D05.x1	Homolog PID: 4006978 pollen allergen [Cynodon dactylon]	Homolog PID: 415896 PHL PII, pollen allergen [Phleum pratense]	Homolog PID: 4007852 pollen allergen [Triticum aestivum]	707071D05.x1
707072H06.x2	Homolog PID: 8927653 Contains similarity to F-box pro... [Arabidopsis thaliana]			707072H06.x2
707074E04.x1	Homolog PID: 10129651 putative protein [Arabidopsis thaliana]	Homolog PID: 10801374 unknown protein [Arabidopsis thaliana]		707074E04.x1
707074H12.x1	Homolog PID: 9501245 glyceraldehyde-3-phosphate dehyd... [Daphnia magna]	Homolog PID: 8670809 glyceraldehyde-3-phosphate dehyd... [Daphnia pulex]	Homolog PID: 2655169 	707074H12.x1
707078G03.x1	Homolog PID: 7287988 putative protein [Arabidopsis thaliana]	Homolog PID: 7268761 putative protein [Arabidopsis thaliana]	Homolog PID: 3250674 putative protein [Arabidopsis thalia	707078G03.x1
707078D09.x1				707078D09.x1
707071C10.x1				707071C10.x1
707072H07.x1				707072H07.x1
707074D06.x1	Homolog PID: 255569 pollen specific protein [Zea mays]	Homolog PID: 20310 pollen specific gene [Oryza sativa]	Homolog PID: 2765366 putative Ole e 1 protein [Betula pendula]	707074D06.x1
707077D02.x1	Homolog PID: 10934082 Arabidopsis thaliana regulatory ... [Oryza sativa]	Homolog PID: 9988453 putative regulatory protein NPR1 [Oryza sativa]		707077D02.x1
707078A04.x1	Homolog PID: 3157928 Similar to fumarylacetoacetate h... [Arabidopsis thaliana]	Homolog PID: 204090 fumarylacetoacetate hydrolase [Rattus norvegicus]		707078A04.x1
707078G10.x1	Homolog PID: 7630247 Similar to Populus balsamifera s... [Oryza sativa]			707078G10.x1
945001C06.X3				945001C06.X3
945001A12.X3				945001A12.X3
945002H07.X3				945002H07.X3
945003H02.X3	Homolog PID: 2632252 serine/threonine kinase [Sorghum bicolor]	Homolog PID: 2632254 serine/threonine kinase [Sorghum bicolor]	Homolog PID: 3885328 putative protein kinase [Arabi	945003H02.X3
945003B08.X1				945003B08.X1
945004D04.X1				945004D04.X1
945001C07.Y1				945001C07.Y1
945001E12.X1	Homolog PID: 10177211 protein kinase [Arabidopsis thaliana]	Homolog PID: 6016708 putative protein kinase [Arabidopsis thaliana]	Homolog PID: 9279693 kinase-like protein [Arabidopsi	945001E12.X1
945002E09.X3				945002E09.X3
945003B03.X3	Homolog PID: 871510 small GTP-binding protein [Pisum sativum]	Homolog PID: 1370192 RAB8B [Lotus japonicus]	Homolog PID: 5669640 ethylene-responsive small GTP-bi... [Lycopersicon 	945003B03.X3
945003E08.X3	Homolog PID: 3298476 ovp2 [Oryza sativa]	Homolog PID: 1747296 vacuolar H+-pyrophosphatase [Oryza sativa]	Homolog PID: 485744 pyrophosphatase [Beta vulgaris]	945003E08.X3
945004G05.X1	Homolog PID: 10638955 putative proline-rich protein AP... [Cicer arietinum]	Homolog PID: 2062167 Proline-rich protein APG isolog [Arabidopsis thaliana]	Homolog PID: 9	945004G05.X1
945001A08.X1				945001A08.X1
945002H01.X1	Homolog PID: 10177198 Erd1 protein precursor [Arabidopsis thaliana]	Homolog PID: 497629 ERD1 protein [Arabidopsis thaliana]	Homolog PID: 755163 ClpC [Synechococcus sp]	945002H01.X1
945002D10.X1	Homolog PID: 4512664 putative ribose phosphate pyroph... [Arabidopsis thaliana]	Homolog PID: 4902472 phosphoribosyl diphosphate synth... [Arabidopsis thaliana]		945002D10.X1
945003A04.X3	Homolog PID: 733456 chlorophyll a/b-binding apoprote... [Zea mays]	Homolog PID: 733454 chlorophyll a/b-binding apoprote... [Zea mays]	Homolog PID: 1644289 chlorophyll a/b-bi	945003A04.X3
945003C10.X1				945003C10.X1
945004B07.X1	Homolog PID: 8809625 gene_id:MQL5.28~pir||F71443~simi...	Homolog PID: 2245101 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 7268494 hypothetical protein [Arabidopsis thalia	945004B07.X1
945001E08.X3				945001E08.X3
945002F02.X3	Homolog PID: 10177925 NADH dehydrogenase 10.5K chain-l... [Arabidopsis thaliana]	Homolog PID: 246 NADH  dehydrogenase [Bos taurus]		945002F02.X3
945002F10.X3	Homolog PID: 8347248 hexose transporter [Zea mays]	Homolog PID: 9996166 unnamed protein product [Zea mays]	Homolog PID: 8347244 hexose transporter [Nicotiana tabacum]	945002F10.X3
945003E04.X3				945003E04.X3
945003B11.X3				945003B11.X3
945004H08.X1	Homolog PID: 6671951 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 10998134 gene_id:MEC18.6~unknown protein [Arabidopsis thaliana]		945004H08.X1
945017E05.X2				945017E05.X2
945017C11.Y1	Homolog PID: 7267676 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 4538911 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 10092449 unknown protein 21747-	945017C11.Y1
945018H05.X1				945018H05.X1
945019E03.Y1	Homolog PID: 10799830 O-linked GlcNAc transferase like [Nicotiana tabacum]	Homolog PID: 5732436 contains similarity to O-linked ... [Arabidopsis thaliana]		945019E03.Y1
945020D01.Y1	Homolog PID: 2289009 60S ribosomal protein L38 [Arabidopsis thaliana]	Homolog PID: 6996290 60S RIBOSOMAL PROTEIN L38-like p... [Arabidopsis thaliana]	Homolog PID: 313027 	945020D01.Y1
945020G08.Y1				945020G08.Y1
945017E06.Y1				945017E06.Y1
945017F11.Y1	Homolog PID: 9759192 vacuolar sorting protein-like e...	Homolog PID: 7269623 putative protein [Arabidopsis thaliana]	Homolog PID: 4469020 putative protein [Arabidopsis thaliana]	945017F11.Y1
945018C06.X2	Homolog PID: 7076768 putative protein [Arabidopsis thaliana]	Homolog PID: 7385170 2P1 protein [Mus musculus]	Homolog PID: 2078535 nuclear protein E3-3 orf1 [Rattus norvegicus]	945018C06.X2
945019G04.Y1	Homolog PID: 3650037 auxin-responsive GH3-like protein [Arabidopsis thaliana]	Homolog PID: 2642446 unknown protein [Arabidopsis thaliana]	Homolog PID: 6520208 GH3	945019G04.Y1
945020D03.Y1	Homolog PID: 9229751 DegP protease precursor [Arabidopsis thaliana]	Homolog PID: 2565436 DegP protease precursor [Arabidopsis thaliana]	Homolog PID: 2198677 htrA-like prote	945020D03.Y1
945020G10.Y1	Homolog PID: 22173 ATPase F1 subunit protein [Zea mays]	Homolog PID: 897618 F-1-ATPase subunit 2 [Zea mays]	Homolog PID: 4388534 F1-ATP synthase, beta subunit [Sorghum bicolor]	945020G10.Y1
945017B07.Y1	Homolog PID: 11761113 putative cytochrome P450 [Oryza sativa]	Homolog PID: 11761092 putative cytochrome P450 [Oryza sativa]	Homolog PID: 9294387 cytochrome P450 [Arabidopsis thal	945017B07.Y1
945017B12.Y1	Homolog PID: 11034562 hypothetical protein [Oryza sativa]			945017B12.Y1
945018A08.X1				945018A08.X1
945019C05.Y1	Homolog PID: 902247 PSII 47KDa protein [Zea mays]	Homolog PID: 12435 psbB [Zea mays]	Homolog PID: 12013 PSII 47kDa protein [Oryza sativa]	945019C05.Y1
945020H03.Y1	Homolog PID: 167081 peroxidase BP 1 [Hordeum vulgare]	Homolog PID: 6682609 peroxidase ATP4a 11713-9515	Homolog PID: 7239495 Identical to the peroxidase ATP4...	945020H03.Y1
945020F12.Y1	Homolog PID: 8778437 F18O14.22 [Arabidopsis thaliana]	Homolog PID: 10092276 integral membrane protein, putat...	Homolog PID: 5091611 Similar to gb|U43629 integral me...	945020F12.Y1
945017E07.X2	Homolog PID: 2529677 putative kinesin heavy chain [Arabidopsis thaliana]	Homolog PID: 3421378 kinesin-like heavy chain [Arabidopsis thaliana]	Homolog PID: 2191180 Simi	945017E07.X2
945017D12.X2				945017D12.X2
945018F08.X2	Homolog PID: 9758886 U6 snRNA-associated Sm-like prot... [Arabidopsis thaliana]	Homolog PID: 3876465 predicted using Genefinder~Simil...	Homolog PID: 5919151 U6	945018F08.X2
945019A06.Y1	Homolog PID: 8346548 putative protein [Arabidopsis thaliana]	Homolog PID: 2621563 ATP-dependent RNA helicase, eIF-... [Methanothermobacter ther]		945019A06.Y1
945020E04.Y1				945020E04.Y1
945021C02.Y1				945021C02.Y1
945031G11.Y1				945031G11.Y1
945032H09.Y1				945032H09.Y1
945033D03.X1	Homolog PID: 5672673 phosphoenolpyruvate carboxykinase [Zea mays]	Homolog PID: 4580719 phosphoenolpyruvate carboxykinas... [Urochloa panicoides]	Homolog PID: 4580721 phosphoe	945033D03.X1
945033C09.X1	Homolog PID: 442526 ZmERabp4=auxin-binding protein [Zea mays]	Homolog PID: 168399 auxin-binding protein [Zea mays]	Homolog PID: 264278 auxin-binding protein, ABP [Zea mays]	945033C09.X1
945034F03.Y1	Homolog PID: 2342719 putative SF16 protein {Helianthu... [Arabidopsis thaliana]			945034F03.Y1
945034A09.X1	Homolog PID: 10716610 putative CER1 [Oryza sativa]	Homolog PID: 4769012 CER1 [Oryza sativa]	Homolog PID: 2317910 CER1 protein [Arabidopsis thaliana]	945034A09.X1
945031D12.X1	Homolog PID: 9989062 Unknown protein [Arabidopsis thaliana]	Homolog PID: 10176931 gene_id:MTG10.16~unknown protein [Arabidopsis thaliana]		945031D12.X1
945032F10.X1				945032F10.X1
945033D04.Y1				945033D04.Y1
945033G10.Y1	Homolog PID: 2739383 unknown protein [Arabidopsis thaliana]			945033G10.Y1
945034D04.Y1	Homolog PID: 4996105 histidine decarboxylase [Brassica napus]	Homolog PID: 7523682 Putative  histidine decarboxylase [Arabidopsis thaliana]	Homolog PID: 10086410 Putatitve histid	945034D04.Y1
945034E09.Y1	Homolog PID: 575292 SNF1-related protein kinase [Hordeum vulgare]	Homolog PID: 4107009 OSK1 [Oryza sativa]	Homolog PID: 4091885 protein kinase SNF1 [Oryza sativa]	945034E09.Y1
945032B01.X1	Homolog PID: 6049882 contains regions of similarity t... [Arabidopsis thaliana]	Homolog PID: 7267122 contains regions of similarity t... [Arabidopsis thaliana]		945032B01.X1
945032C11.Y1				945032C11.Y1
945033H04.X1	Homolog PID: 3201554 beta-D-glucosidase [Tropaeolum majus]	Homolog PID: 8809764 exoglucanase precursor [Zea mays]	Homolog PID: 1203832 beta-D-glucan exohydrolase, isoe... [Hordeum v	945033H04.X1
945033G11.X1				945033G11.X1
945034B05.Y1	Homolog PID: 1946372 putative integral membrane protein [Arabidopsis thaliana]			945034B05.Y1
945034H09.Y1				945034H09.Y1
945032F01.X1				945032F01.X1
945032F11.X1	Homolog PID: 9957238 zinc finger and C2 domain protein [Arabidopsis thaliana]	Homolog PID: 7267293 putative protein [Arabidopsis thaliana]	Homolog PID: 7268913 pu	945032F11.X1
945033A06.Y1				945033A06.Y1
945033F12.X1				945033F12.X1
945034F05.Y1				945034F05.Y1
945034C10.X1	Homolog PID: 785067 Vps27p [Saccharomyces cerevisiae]	Homolog PID: 1302478 ORF YNR006w [Saccharomyces cerevisiae]	Homolog PID: 496723 N2038 [Saccharomyces cerevisiae]	945034C10.X1
614017G04.x1				614017G04.x1
614017A11.y1	Homolog PID: 3746431 pyruvate dehydrogenase kinase is... [Zea mays]	Homolog PID: 11610916 putative pyruvate dehydrogenase ... [Oryza sativa]	Homolog PID: 3695005 pyruvate d	614017A11.y1
614018C08.y1				614018C08.y1
614020E04.y1				614020E04.y1
614020G08.y1				614020G08.y1
614021G04.y1	Homolog PID: 7363292 ESTs D15336(C0474),C98053(C0474)... [Oryza sativa]	Homolog PID: 2245131 hypothetical protein [Arabidopsis thaliana]	Homolog PID: 7268525 hypothetic	614021G04.y1
614017E05.y1	Homolog PID: 9759033 acyl-peptide hydrolase-like [Arabidopsis thaliana]	Homolog PID: 1001263 hypothetical protein [Synechocystis sp]	Homolog PID: 4154083 putative acyl-	614017E05.y1
614017B12.y1				614017B12.y1
614018D09.y1	Homolog PID: 437104 C4 photosynthetic NAD-dependent ... [Amaranthus hypochondriac]	Homolog PID: 4558661 malate oxidoreductase [Arabidopsis thaliana]		614018D09.y1
614020G04.y1				614020G04.y1
614020F09.x1				614020F09.x1
614021C05.y1				614021C05.y1
614017B06.y1	Homolog PID: 2275203 putative pre-mRNA splicing facto... [Arabidopsis thaliana]	Homolog PID: 7340702 ATP-dependent RNA helicase-like ... [Arabidopsis thaliana]		614017B06.y1
614018C01.y1	Homolog PID: 168607 Rieske Fe-S protein [Zea mays]	Homolog PID: 170322 Rieske Fe-S protein [Nicotiana tabacum]	Homolog PID: 530054 Rieske iron-sulfur protein [Nicotiana tabacum]	614018C01.y1
614018C10.x1				614018C10.x1
614020B05.y1	Homolog PID: 3335375 putative AMP deaminase [Arabidopsis thaliana]	Homolog PID: 10041548 unnamed protein product [Arabidopsis thaliana]	Homolog PID: 7638159 AMP deaminase [D	614020B05.y1
