^PLATFORM = GPL13
!Platform_title = MSU-1
!Platform_geo_accession = GPL13
!Platform_status = Public on Jul 20 2001
!Platform_submission_date = Jul 20 2001
!Platform_last_update_date = May 26 2005
!Platform_technology = spotted DNA/cDNA
!Platform_distribution = non-commercial
!Platform_organism = Arabidopsis thaliana
!Platform_taxid = 3702
!Platform_description = Tip Configuration: Standard 1-tip
!Platform_description = Columns per Sector: 1
!Platform_description = Rows per Sector: 1
!Platform_description = Column Spacing: 1.1
!Platform_description = Row Spacing: 1.1
!Platform_description = Microarray containing 11,521 Arabidopsis expressed sequence tags, representing an estimated 7800 unique genes.
!Platform_pubmed_id = 11158533
!Platform_contributor = R,,Schaffer
!Platform_contributor = J,,Landgraf
!Platform_contributor = M,,Accerbi
!Platform_contributor = V,,Simon
!Platform_contributor = M,,Larson
!Platform_contributor = E,,Wisman
!Platform_contact_name = ,,Stanford Microarray Database
!Platform_contact_email = array@genome.stanford.edu
!Platform_contact_phone = 650-498-6012
!Platform_contact_department = Stanford University, School of Medicine
!Platform_contact_institute = Stanford Microarray Database (SMD)
!Platform_contact_address = 300 Pasteur Drive
!Platform_contact_city = Stanford
!Platform_contact_state = CA
!Platform_contact_zip/postal_code = 94305
!Platform_contact_country = USA
!Platform_contact_web_link = http://genome-www5.stanford.edu/
!Platform_sample_id = GSM423
!Platform_sample_id = GSM424
!Platform_sample_id = GSM425
!Platform_sample_id = GSM426
!Platform_sample_id = GSM427
!Platform_sample_id = GSM428
!Platform_sample_id = GSM429
!Platform_sample_id = GSM430
!Platform_sample_id = GSM431
!Platform_sample_id = GSM432
!Platform_sample_id = GSM433
!Platform_sample_id = GSM434
!Platform_sample_id = GSM435
!Platform_series_id = GSE4
!Platform_data_row_count = 12800
#ID = 
#NAME = name of spot
#CLONE_ID = clone identifier
#SPOT_ID = Spot identifier
#Description = description of spot
#GB_ACC = GenBank accession LINK_PRE:"http://www.ncbi.nlm.nih.gov/nuccore/?term="
#Gene Info = information about the gene represented by the sequence in the spot/feature
#SECTOR = spot sector grid coordinate
#SECTORROW = spot row grid coordinate
#SECTORCOL = spot column grid coordinate
#SOURCE = source of clone
#PLATE = clone plate identifier
#PROW = clone plate row
#PCOL = clone plate column
#FAILED = 
#IS_VERIFIED = 
#IS_CONTAMINATED = 
!platform_table_begin
ID	NAME	CLONE_ID	SPOT_ID	Description	GB_ACC	Gene Info	SECTOR	SECTORROW	SECTORCOL	SOURCE	PLATE	PROW	PCOL	FAILED	IS_VERIFIED	IS_CONTAMINATED
23	34378	92E15T7			T20741	(AC006072) unknown protein [Arabidopsis thaliana]	1	1	1	MSU:384(1A23)	1	A	23	0	N	U
24	34379	98O19T7			T22580		1	1	1	MSU:384(1A24)	1	A	24	0	N	U
25	34380	103G6T7			T22292	(AL049640) putative protein [Arabidopsis thaliana]	1	1	1	MSU:384(1B1)	1	B	1	0	N	U
26	34381	104A2T7			T22328		1	1	1	MSU:384(1B2)	1	B	2	0	N	U
27	34382	109D21T7			T23032		1	1	1	MSU:384(1B3)	1	B	3	0	N	U
28	34383	114O19T7		26S PROTEASE REGULATORY SUBUNIT 7	T42905		1	1	1	MSU:384(1B4)	1	B	4	0	N	U
29	34384	115B4T7			T42604		1	1	1	MSU:384(1B5)	1	B	5	0	N	U
30	34385	119E2T7		GTP Binding Protein	T43237	(AE001311) GTP Binding Protein [Chlamydia trachomatis]	1	1	1	MSU:384(1B6)	1	B	6	0	N	U
31	34386	104N18T7			T21992		1	1	1	MSU:384(1B7)	1	B	7	0	N	U
32	34387	105D18T7			T22446		1	1	1	MSU:384(1B8)	1	B	8	0	N	U
33	34388	110H9T7			T42102		1	1	1	MSU:384(1B9)	1	B	9	0	N	U
34	34389	115O18T7			T43157		1	1	1	MSU:384(1B10)	1	B	10	0	N	U
35	34390	116D22T7			T42717		1	1	1	MSU:384(1B11)	1	B	11	0	N	U
36	34391	120I11T7			T43958	(AL049483) putative phosphatidylserine decarboxylase [Arabidopsis thaliana]	1	1	1	MSU:384(1B12)	1	B	12	0	N	U
37	34392	105L21T7			R84004	(AL049711) putative protein [Arabidopsis thaliana]	1	1	1	MSU:384(1B13)	1	B	13	0	N	U
38	34393	105P7XP			AA585801		1	1	1	MSU:384(1B14)	1	B	14	0	N	U
39	34394	111G20XP			AA585893	(AC007369) Unknown protein [Arabidopsis thaliana]	1	1	1	MSU:384(1B15)	1	B	15	0	N	U
40	34395	117B14T7			T42826		1	1	1	MSU:384(1B16)	1	B	16	0	N	U
41	34396	117G2T7			AA721915		1	1	1	MSU:384(1B17)	1	B	17	0	N	U
42	34397	121L6T7			T43635	(AL049481) putative protein [Arabidopsis thaliana]	1	1	1	MSU:384(1B18)	1	B	18	0	N	U
43	34398	106P1T7			T22752		1	1	1	MSU:384(1B19)	1	B	19	0	N	U
44	34399	107K19XP			AA585837		1	1	1	MSU:384(1B20)	1	B	20	0	N	U
45	34400	113P13T7			T42536		1	1	1	MSU:384(1B21)	1	B	21	0	N	U
46	34401	118D18T7			T43363		1	1	1	MSU:384(1B22)	1	B	22	0	N	U
47	34402	118H11XP			AA395069		1	1	1	MSU:384(1B23)	1	B	23	0	N	U
48	34403	123A20T7			T43735		1	1	1	MSU:384(1B24)	1	B	24	0	N	U
49	34404	123M2T7			T44239		1	1	1	MSU:384(1C1)	1	C	1	0	N	U
50	34405	124G4XP			AA395432		1	1	1	MSU:384(1C2)	1	C	2	0	N	U
51	34406	129L3XP			AA394491	(AC007069) putative purple acid phosphatase [Arabidopsis thaliana]	1	1	1	MSU:384(1C3)	1	C	3	0	N	U
52	34407	138J7T7			T46228		1	1	1	MSU:384(1C4)	1	C	4	0	N	U
53	34408	139C2T7			T46631		1	1	1	MSU:384(1C5)	1	C	5	0	N	U
54	34409	146M2XP			AI100008		1	1	1	MSU:384(1C6)	1	C	6	0	N	U
55	34410	125G23XP			AI099813		1	1	1	MSU:384(1C7)	1	C	7	0	N	U
56	34411	125L20T7			R86808		1	1	1	MSU:384(1C8)	1	C	8	0	N	U
57	34412	132L18T7			T45819		1	1	1	MSU:384(1C9)	1	C	9	0	N	U
58	34413	140D23XP			AA404813		1	1	1	MSU:384(1C10)	1	C	10	0	N	U
59	34414	140M20XP			AA404823		1	1	1	MSU:384(1C11)	1	C	11	0	N	U
60	34415	147N21T7			T76236	(AP000060) 306aa long hypothetical spermidine synthase [Aeropyrum pernix]	1	1	1	MSU:384(1C12)	1	C	12	0	N	U
61	34416	126G16T7			T44544		1	1	1	MSU:384(1C13)	1	C	13	0	N	U
62	34417	126K2XP			AA395482		1	1	1	MSU:384(1C14)	1	C	14	0	N	U
63	34418	134K16XP			AA395532	(AL023094) putative ribosomal protein S16 [Arabidopsis thaliana]	1	1	1	MSU:384(1C15)	1	C	15	0	N	U
64	34419	142P24T7			T75734		1	1	1	MSU:384(1C16)	1	C	16	0	N	U
65	34420	143H15T7			T46785		1	1	1	MSU:384(1C17)	1	C	17	0	N	U
66	34421	149B18T7			T76369		1	1	1	MSU:384(1C18)	1	C	18	0	N	U
67	34422	127I23T7		pectate lyase	T44615		1	1	1	MSU:384(1C19)	1	C	19	0	N	U
68	34423	128C4T7			T45009		1	1	1	MSU:384(1C20)	1	C	20	0	N	U
69	34424	135M19T7			T46591		1	1	1	MSU:384(1C21)	1	C	21	0	N	U
70	34425	144K1T7			T76605		1	1	1	MSU:384(1C22)	1	C	22	0	N	U
71	34426	145B8XP			AA404912		1	1	1	MSU:384(1C23)	1	C	23	0	N	U
72	34427	151A17T7			T76762		1	1	1	MSU:384(1C24)	1	C	24	0	N	U
73	34428	152L23T7			AA720236		1	1	1	MSU:384(1D1)	1	D	1	0	N	U
74	34429	153F18XP			AI099517		1	1	1	MSU:384(1D2)	1	D	2	0	N	U
75	34430	159J17T7			R30319		1	1	1	MSU:384(1D3)	1	D	3	0	N	U
76	34431	165H3T7			R30537		1	1	1	MSU:384(1D4)	1	D	4	0	N	U
77	34432	166C2T7			R30585		1	1	1	MSU:384(1D5)	1	D	5	0	N	U
78	34433	172L20T7			H36019	(AC007209) putative chromodomain-helicase-DNA-binding protein [Arabidopsis thaliana]	1	1	1	MSU:384(1D6)	1	D	6	0	N	U
79	34434	154O14T7			R84139		1	1	1	MSU:384(1D7)	1	D	7	0	N	U
80	34435	155E16T7			T76551		1	1	1	MSU:384(1D8)	1	D	8	0	N	U
81	34436	160P24T7			T88337		1	1	1	MSU:384(1D9)	1	D	9	0	N	U
82	34437	167H10T7			R64805		1	1	1	MSU:384(1D10)	1	D	10	0	N	U
83	34438	167I2T7			R64822	(AL049658) putative protein [Arabidopsis thaliana]	1	1	1	MSU:384(1D11)	1	D	11	0	N	U
84	34439	176G17T7			AA712680	(AL035656) putative protein [Arabidopsis thaliana]	1	1	1	MSU:384(1D12)	1	D	12	0	N	U
85	34440	156G2T7			T88444		1	1	1	MSU:384(1D13)	1	D	13	0	N	U
86	34441	157B12XP			AI099566		1	1	1	MSU:384(1D14)	1	D	14	0	N	U
87	34442	161P4XP			AI100694		1	1	1	MSU:384(1D15)	1	D	15	0	N	U
88	34443	169G7T7			AA720359	(Z48564) dihydrolipoamide dehydrogenase [Synechocystis PCC6803]	1	1	1	MSU:384(1D16)	1	D	16	0	N	U
89	34444	170A14T7			R65367		1	1	1	MSU:384(1D17)	1	D	17	0	N	U
90	34445	178D20T7			H36356	(AL049659) putative protein [Arabidopsis thaliana]	1	1	1	MSU:384(1D18)	1	D	18	0	N	U
91	34446	157P23XP			AA394718		1	1	1	MSU:384(1D19)	1	D	19	0	N	U
92	34447	158F7T7			T88241		1	1	1	MSU:384(1D20)	1	D	20	0	N	U
93	34448	163M21T7		TRANSCRIPTION ANTITERMINATION PROTEIN	R64754		1	1	1	MSU:384(1D21)	1	D	21	0	N	U
94	34449	171E9XP			AA651102		1	1	1	MSU:384(1D22)	1	D	22	0	N	U
95	34450	171L15T7			R65101	(AB024301) RuvB-like DNA helicase TIP49b [Homo sapiens]	1	1	1	MSU:384(1D23)	1	D	23	0	N	U
96	34451	180B2T7			H37343		1	1	1	MSU:384(1D24)	1	D	24	0	N	U
97	34452	181F2XP			AA651342	(AL049658) putative peptide transporter [Arabidopsis thaliana]	1	1	1	MSU:384(1E1)	1	E	1	0	N	U
98	34453	181N20T7			AA712238	rac GTP binding protein Arac10 [Arabidopsis thaliana]	1	1	1	MSU:384(1E2)	1	E	2	0	N	U
99	34454	190C24XP			AA605464		1	1	1	MSU:384(1E3)	1	E	3	0	N	U
100	34455	198B24T7			H76555		1	1	1	MSU:384(1E4)	1	E	4	0	N	U
101	34456	198N16T7			AA597445		1	1	1	MSU:384(1E5)	1	E	5	0	N	U
102	34457	205M6T7			H76931	(Z72152) AMP-binding protein [Brassica napus]	1	1	1	MSU:384(1E6)	1	E	6	0	N	U
103	34458	183A22T7			AA712181		1	1	1	MSU:384(1E7)	1	E	7	0	N	U
104	34459	184B9T7			H37612		1	1	1	MSU:384(1E8)	1	E	8	0	N	U
105	34460	192B10T7		MSTK2S kinase-like protein	R90265		1	1	1	MSU:384(1E9)	1	E	9	0	N	U
106	34461	200G24T7			AA597507		1	1	1	MSU:384(1E10)	1	E	10	0	N	U
107	34462	201C22T7			AA597897		1	1	1	MSU:384(1E11)	1	E	11	0	N	U
108	34463	208J23T7			N37262		1	1	1	MSU:384(1E12)	1	E	12	0	N	U
109	34464	185J6T7			H37190	(AC006931) putative citrate synthase [Arabidopsis thaliana]	1	1	1	MSU:384(1E13)	1	E	13	0	N	U
110	34465	186B15XP			AA605376		1	1	1	MSU:384(1E14)	1	E	14	0	N	U
111	34466	194A16XP			AA651481		1	1	1	MSU:384(1E15)	1	E	15	0	N	U
112	34467	202B5T7			AA597589	(AF144385) thioredoxin f1 [Arabidopsis thaliana]	1	1	1	MSU:384(1E16)	1	E	16	0	N	U
113	34468	202N3T7			AA597630		1	1	1	MSU:384(1E17)	1	E	17	0	N	U
114	34469	211F3T7			N37408	(AC007659) putative phosphatidate cytidylyltransferase [Arabidopsis thaliana]	1	1	1	MSU:384(1E18)	1	E	18	0	N	U
115	34470	187L9T7			R90473	(AL035539) putative protein [Arabidopsis thaliana]	1	1	1	MSU:384(1E19)	1	E	19	0	N	U
116	34471	188E17T7			R90044		1	1	1	MSU:384(1E20)	1	E	20	0	N	U
117	34472	196A4T7			AA712749		1	1	1	MSU:384(1E21)	1	E	21	0	N	U
118	34473	204A20T7			H77143	(AC007591) EST gb|H77143 comes from this gene. [Arabidopsis thaliana]	1	1	1	MSU:384(1E22)	1	E	22	0	N	U
119	34474	204J18T7			H77170	(AB027458) ACE [Arabidopsis thaliana]	1	1	1	MSU:384(1E23)	1	E	23	0	N	U
120	34475	214H4XP			AI100710		1	1	1	MSU:384(1E24)	1	E	24	0	N	U
121	34476	218D14T7			N38466		1	1	1	MSU:384(1F1)	1	F	1	0	N	U
122	34477	219P22T7			N38146		1	1	1	MSU:384(1F2)	1	F	2	0	N	U
123	34478	241A2T7			N65916		1	1	1	MSU:384(1F3)	1	F	3	0	N	U
124	34479	250F9T7			W43355		1	1	1	MSU:384(1F4)	1	F	4	0	N	U
125	34480	251P17T7			AA042542		1	1	1	MSU:384(1F5)	1	F	5	0	N	U
126	34481	B64TP			T03999		1	1	1	MSU:384(1F6)	1	F	6	0	N	U
127	34482	221E5T7			N38234		1	1	1	MSU:384(1F7)	1	F	7	0	N	U
128	34483	222A13T7			N38259		1	1	1	MSU:384(1F8)	1	F	8	0	N	U
129	34484	246B24T7			N97185		1	1	1	MSU:384(1F9)	1	F	9	0	N	U
130	34485	2B12TT			AA728525	Unknown protein [Arabidopsis thaliana]	1	1	1	MSU:384(1F10)	1	F	10	0	N	U
131	34486	6D4T7P			T04201	(AC005896) unknown protein [Arabidopsis thaliana]	1	1	1	MSU:384(1F11)	1	F	11	0	N	U
132	34487	E2B10T7			AA041137		1	1	1	MSU:384(1F12)	1	F	12	0	N	U
133	34488	227A11T7			N65096		1	1	1	MSU:384(1F13)	1	F	13	0	N	U
134	34489	228D21T7			N65130		1	1	1	MSU:384(1F14)	1	F	14	0	N	U
135	34490	247J13T7			W43134		1	1	1	MSU:384(1F15)	1	F	15	0	N	U
136	34491	32E4T7			T13642	(AC007171) legumin-like protein [Arabidopsis thaliana]	1	1	1	MSU:384(1F16)	1	F	16	0	N	U
137	34492	34B5T7			T04243	PGP237-11 [Petunia x hybrida]	1	1	1	MSU:384(1F17)	1	F	17	0	N	U
138	34493	E6A8T7			AA042292	(AF144752) 40S ribosomal protein S7 homolog [Brassica oleracea]	1	1	1	MSU:384(1F18)	1	F	18	0	N	U
139	34494	230G9T7			N65715		1	1	1	MSU:384(1F19)	1	F	19	0	N	U
140	34495	231H15T7			N65756		1	1	1	MSU:384(1F20)	1	F	20	0	N	U
141	34496	248O23T7			AA597976	trehalose-6-phosphate phosphatase [Arabidopsis thaliana]	1	1	1	MSU:384(1F21)	1	F	21	0	N	U
142	34497	36D8XP			AA585951	contains similarity to tropomyosin (Pfam: Tropomyosin.hmm, score: 14.57) and ATP synthase (Pfam: ATP-synt_B.hmm, score: 10.89) [Arabidopsis thaliana]	1	1	1	MSU:384(1F22)	1	F	22	0	N	U
143	34498	37A6TT			AA728563	EUKARYOTIC TRANSLATION INITIATION FACTOR 2 BETA SUBUNIT (EIF-2-BETA)	1	1	1	MSU:384(1F23)	1	F	23	0	N	U
144	34499	F10C11T7			N96575		1	1	1	MSU:384(1F24)	1	F	24	0	N	U
145	34500	F2B2T7			N96453	(AC007017) unknown protein [Arabidopsis thaliana]	1	1	1	MSU:384(1G1)	1	G	1	0	N	U
146	34501	F2H4T7			N95886		1	1	1	MSU:384(1G2)	1	G	2	0	N	U
147	34502	G1C2T7			N96077	(AC005489) F14N23.6 [Arabidopsis thaliana]	1	1	1	MSU:384(1G3)	1	G	3	0	N	U
148	34503	G7C1T7			N96258		1	1	1	MSU:384(1G4)	1	G	4	0	N	U
149	34504	G7G11T7			N96277		1	1	1	MSU:384(1G5)	1	G	5	0	N	U
150	34505	H3F10T7			W43429		1	1	1	MSU:384(1G6)	1	G	6	0	N	U
151	34506	F4B1T7			N95985		1	1	1	MSU:384(1G7)	1	G	7	0	N	U
152	34507	F6D5T7			N95912		1	1	1	MSU:384(1G8)	1	G	8	0	N	U
153	34508	G2G11T7			N96686		1	1	1	MSU:384(1G9)	1	G	9	0	N	U
154	34509	G8E6T7			N96334		1	1	1	MSU:384(1G10)	1	G	10	0	N	U
155	34510	G8G4T7			N96353		1	1	1	MSU:384(1G11)	1	G	11	0	N	U
156	34511	H5B11T7			AA713348		1	1	1	MSU:384(1G12)	1	G	12	0	N	U
157	34512	G10B10T7			N96164		1	1	1	MSU:384(1G13)	1	G	13	0	N	U
158	34513	G10G12T7			N96212	(AF141202) EIN2 [Arabidopsis thaliana]	1	1	1	MSU:384(1G14)	1	G	14	0	N	U
159	34514	G3H6T7			N96236		1	1	1	MSU:384(1G15)	1	G	15	0	N	U
160	34515	H10C4T7			AA042442	(AL031154) hypothetical protein [Schizosaccharomyces pombe]	1	1	1	MSU:384(1G16)	1	G	16	0	N	U
161	34516	H10G5T7			AA042474		1	1	1	MSU:384(1G17)	1	G	17	0	N	U
162	34517	H6G6T7			W43843		1	1	1	MSU:384(1G18)	1	G	18	0	N	U
163	34518	G11E8T7			W43407	(AC006282) unknown protein [Arabidopsis thaliana]	1	1	1	MSU:384(1G19)	1	G	19	0	N	U
164	34519	G12A2T7			W43450	(Y13673) TATA binding protein-associated factor [Arabidopsis thaliana]	1	1	1	MSU:384(1G20)	1	G	20	0	N	U
165	34520	G5E12T7			N96817		1	1	1	MSU:384(1G21)	1	G	21	0	N	U
166	34521	H1H12T7			W43539	(AL049659) putative protein [Arabidopsis thaliana]	1	1	1	MSU:384(1G22)	1	G	22	0	N	U
167	34522	H2C6T7			W43583		1	1	1	MSU:384(1G23)	1	G	23	0	N	U
168	34523	H8G3T7			AA042398		1	1	1	MSU:384(1G24)	1	G	24	0	N	U
169	34524	K3B6RP			AA728438		1	1	1	MSU:384(1H1)	1	H	1	0	N	U
170	34525	K4H9TP			AA728700		1	1	1	MSU:384(1H2)	1	H	2	0	N	U
171	34526	40H8XP			AA395724	(AL031804) putative protein [Arabidopsis thaliana]	1	1	1	MSU:384(1H3)	1	H	3	0	N	U
172	34527	82H7T7			AA067563		1	1	1	MSU:384(1H4)	1	H	4	0	N	U
173	34528	85C9XP			AA586165		1	1	1	MSU:384(1H5)	1	H	5	0	N	U
174	34529	92G1T7			AA067518	(AB023448) basic endochitinase [Arabidopsis thaliana]	1	1	1	MSU:384(1H6)	1	H	6	0	N	U
175	34530	SCG11T7P			T04099	(Z97342) putative serine protease-like protein [Arabidopsis thaliana]	1	1	1	MSU:384(1H7)	1	H	7	0	N	U
176	34531	E1C8T7			AA041078		1	1	1	MSU:384(1H8)	1	H	8	0	N	U
177	34532	46E11T7			T14074		1	1	1	MSU:384(1H9)	1	H	9	0	N	U
178	34533	88G11XP			AA586192		1	1	1	MSU:384(1H10)	1	H	10	0	N	U
179	34534	88K20XP			AI100427	(Z97339) hypothetical protein [Arabidopsis thaliana]	1	1	1	MSU:384(1H11)	1	H	11	0	N	U
180	34535	94C19T7			R83961		1	1	1	MSU:384(1H12)	1	H	12	0	N	U
181	34536	E2C4T7			AA041152	(AC005698) T3P18.4 [Arabidopsis thaliana]	1	1	1	MSU:384(1H13)	1	H	13	0	N	U
182	34537	E2D12T7			AA041159	(AC006298) unknown protein [Arabidopsis thaliana]	1	1	1	MSU:384(1H14)	1	H	14	0	N	U
183	34538	66G9XP			AA586093		1	1	1	MSU:384(1H15)	1	H	15	0	N	U
184	34539	89J21T7			T21085		1	1	1	MSU:384(1H16)	1	H	16	0	N	U
185	34540	90F16T7			T21115		1	1	1	MSU:384(1H17)	1	H	17	0	N	U
186	34541	96M7T7			T21358		1	1	1	MSU:384(1H18)	1	H	18	0	N	U
187	34542	E3G1T7			AA042188	ATP SYNTHASE DELTA' CHAIN, MITOCHONDRIAL PRECURSOR	1	1	1	MSU:384(1H19)	1	H	19	0	N	U
188	34543	E4G5T7			AA042236	(AF153352) CDPK-related kinase 2 [Arabidopsis thaliana]	1	1	1	MSU:384(1H20)	1	H	20	0	N	U
189	34544	77F10T7			T45155	(AL050300) putative protein (fragment) [Arabidopsis thaliana]	1	1	1	MSU:384(1H21)	1	H	21	0	N	U
190	34545	91E22T7			AA395584	transducin (beta)-like 1	1	1	1	MSU:384(1H22)	1	H	22	0	N	U
191	34546	91J3T7			AA067478	(AL035538) putative protein [Arabidopsis thaliana]	1	1	1	MSU:384(1H23)	1	H	23	0	N	U
192	34547	98P9XP			AA395694	20S proteasome subunit PAC1 [Arabidopsis thaliana]	1	1	1	MSU:384(1H24)	1	H	24	0	N	U
193	34548	103O20T7			T21873		1	1	1	MSU:384(1I1)	1	I	1	0	N	U
194	34549	104E2XP			AA395713		1	1	1	MSU:384(1I2)	1	I	2	0	N	U
195	34550	110C9XP			AA585852	(AF140598) ring-box protein 1 [Homo sapiens]	1	1	1	MSU:384(1I3)	1	I	3	0	N	U
196	34551	116D17T7			T42712	(U66408) GTP-binding protein [Arabidopsis thaliana]	1	1	1	MSU:384(1I4)	1	I	4	0	N	U
197	34552	116N6T7			T42796		1	1	1	MSU:384(1I5)	1	I	5	0	N	U
198	34553	121K12XP			AA395173	(AC006218) putative nonspecific lipid-transfer protein precursor [Arabidopsis thaliana]	1	1	1	MSU:384(1I6)	1	I	6	0	N	U
199	34554	104P20XP			AA585769		1	1	1	MSU:384(1I7)	1	I	7	0	N	U
200	34555	105F22T7			T22636		1	1	1	MSU:384(1I8)	1	I	8	0	N	U
201	34556	111M6XP			AA395033		1	1	1	MSU:384(1I9)	1	I	9	0	N	U
202	34557	117G3T7			T43308	(Z99708) putative protein [Arabidopsis thaliana]	1	1	1	MSU:384(1I10)	1	I	10	0	N	U
203	34558	117K6XP			AA395209		1	1	1	MSU:384(1I11)	1	I	11	0	N	U
204	34559	123D5XP			AA395397		1	1	1	MSU:384(1I12)	1	I	12	0	N	U
205	34560	106E24T7			T22081	(AL049711) putative protein [Arabidopsis thaliana]	1	1	1	MSU:384(1I13)	1	I	13	0	N	U
206	34561	107E23T7			T22780	(AC005395) unknown protein [Arabidopsis thaliana]	1	1	1	MSU:384(1I14)	1	I	14	0	N	U
207	34562	113O7T7			AA721922	(AC006248) unknown protein [Arabidopsis thaliana]	1	1	1	MSU:384(1I15)	1	I	15	0	N	U
