^PLATFORM = GPL8
!Platform_title = Cerebellargenexp
!Platform_geo_accession = GPL8
!Platform_status = Public on Apr 18 2001
!Platform_submission_date = Apr 18 2001
!Platform_last_update_date = Mar 06 2006
!Platform_technology = spotted DNA/cDNA
!Platform_distribution = non-commercial
!Platform_organism = Mus musculus
!Platform_taxid = 10090
!Platform_description = The Affymetrix GeneChip Mu11K was used to analyze the gene expression profile in developing mouse cerebellum (two GeneChips per E18, P7, P14, P21, and P56) to assist in the understanding of the genetic basis of cerebellar development in mice.  The analysis showed 81.6% (10,321/12,654) of the genes represented on the GeneChip were expressed in the postnatal cerebellum, and among those, 8.7% (897/10,321) were differentially expressed with more than a two-fold change in their maximum and minimum expression levels during the developmental time course.  All of these 897 differentially expressed genes were listed in this platform.  The explanation of gene function classification is as follows:  CGDD (cellular growth, differentiation, and death), CLAM (carbohydrate, lipid, and amino acid metabolism), CSC (cell structure and communication), IMTN (intra/intercellular molecular transport and neurotransmission), NNM (nucleotide and nucleic acid metabolism), ST (signal transduction), and TTPM (transcription, translation, and protein modification).
!Platform_description = Keywords = cerebellum, postnatal development, high-density oligonucleotide array
!Platform_web_link = http://www.brain.riken.go.jp/labs/lmn
!Platform_contact_name = Yoshihiro,,Kagami
!Platform_contact_email = ykagami@brain.riken.go.jp
!Platform_contact_phone = +81-48-467-6079
!Platform_contact_fax = +81-48-467-6079
!Platform_contact_laboratory = Molecular Neurogenesis
!Platform_contact_department =  
!Platform_contact_institute = RIKEN Brain Science Institute
!Platform_contact_address = 2-1 Hirosawa
!Platform_contact_city = Wako-shi
!Platform_contact_state = Saitama
!Platform_contact_zip/postal_code = 351-0198
!Platform_contact_country = Japan
!Platform_contact_web_link = http://www.brain.riken.go.jp/labs/lmn
!Platform_sample_id = GSM50
!Platform_sample_id = GSM51
!Platform_sample_id = GSM52
!Platform_sample_id = GSM53
!Platform_sample_id = GSM54
!Platform_series_id = GSE2
!Platform_data_row_count = 897
#ID = 
#GB_ACC = GenBank accession number LINK_PRE:"http://www.ncbi.nlm.nih.gov/nuccore/?term="
#DESCRIPTION = Gene or EST description
#FUNCTION = Gene function classification
#SUBFUNCTION = More specified gene function classification
!platform_table_begin
ID	GB_ACC	DESCRIPTION	FUNCTION	SUBFUNCTION
37	D83484	protein tyrosine phosphatase epsilon	CGDD	growth/diff.
38	D83507	Neurogenic differentiation 2	CGDD	growth/diff.
39	L07264	Heparin binding epidermal growth factor-like growth factor	CGDD	growth/diff.
40	L21671	Eps8 sequence	CGDD	growth/diff.
41	L24755	Bone morphogenetic protein 1	CGDD	growth/diff.
42	M27266	Fyn proto-oncogene	CGDD	growth/diff.
43	U28068	Neurogenic differentiation	CGDD	growth/diff.
44	U70674	m-Numb (m-nb)	CGDD	growth/diff.
45	U88327	suppressor of cytokine signalling-2 (SOCS-2)	CGDD	growth/diff.
46	X54149	Myeloid differentiation primary response gene 118	CGDD	growth/diff.
47	L41495	protein-serine/threonine kinase (pim-2)	CGDD	growth/diff.
48	X02891	Growth hormone	CGDD	growth/diff.
49	X61940	a growth factor-inducible immediate early gene  (3CH134)	CGDD	growth/diff.
50	U52073	TDD5	CGDD	growth/diff.
51	U92565	Small inducible cytokine subfamily D	CGDD	growth/diff.
52	AB006141	IGFBP-like protein	CGDD	growth/diff.
53	AF049125	taipoxin-associated calcium binding protein 49	CGDD	growth/diff.
54	D63707	hepatoma derived growth factor (HDGF)	CGDD	growth/diff.
55	M38337	Milk fat globule-EGF factor 8 protein	CGDD	growth/diff.
56	M57683	Platelet derived growth factor receptor, alpha polypeptide	CGDD	growth/diff.
57	U15159	LIM-domain containing, protein kinase	CGDD	growth/diff.
58	U29539	retinoic acid-inducible E3 protein	CGDD	growth/diff.
59	U42385	Fibroblast growth factor inducible 16	CGDD	growth/diff.
60	X87096	Brevican	CGDD	growth/diff.
61	U88566	secreted frizzled related protein sFRP-1 (Sfrp1)	CGDD	growth/diff.
62	L34214	glucocorticoid regulated endocrine protein (RESP18)	CGDD	other
63	M33212	nucleolar protein N038	CGDD	other
64	U70209	polycystic kidney disease 1 protein (Pkd1)	CGDD	other
65	AF012710	centromere protein A (Cenp-a)	CGDD	other
66	AF015309	nucleolar protein (MSP58)	CGDD	other
67	J02995	Abelson murine leukemia oncogene	CGDD	other
68	AF004106	CDCL1 (early S-phase)	CGDD	prolif.
69	D83966	Protein tyrosine phosphatase, non-receptor type 13	CGDD	prolif.
70	M64403	Cyclin D1	CGDD	prolif.
71	U22399	Cyclin-dependent kinase inhibitor 1C (P57)	CGDD	prolif.
72	U28217	Protein tyrosine phosphatase, non-receptor type 5	CGDD	prolif.
73	U35249	CDK-activating kinase assembly factor p36/MAT1	CGDD	prolif.
74	U39074	Thymopoietin	CGDD	prolif.
75	U43918	proliferation-associated protein 1	CGDD	prolif.
76	U75530	PHAS-II	CGDD	prolif.
77	X51468	Somatostatin	CGDD	prolif.
78	X65128	Growth arrest specific 1	CGDD	prolif.
79	X78682	Prohibitin	CGDD	prolif.
80	D76440	Necdin	CGDD	prolif.
81	Y00884	mRNA (3.4J) from concanavalin A-stimulated LB3 T-cells	CGDD	prolif.
82	D78135	CIRP	CGDD	prolif.
83	U09507	Cyclin-dependent kinase inhibitor 1A (P21)	CGDD	prolif.
84	X69025	PCTAIRE-motif protein kinase 1	CGDD	prolif.
85	X75888	Cyclin E	CGDD	prolif.
86	U19860	Growth arrest specific 7	CGDD	prolif.
87	U56243	testis 14-3-3 protein theta-subtype	CGDD	prolif.
88	D87661	14-3-3 eta	CGDD	prolif.
89	AB021961	mutant p53	CGDD	prolif.
90	AF011644	oral tumor suppressor homolog (Doc-1)	CGDD	prolif.
91	AF034610	nuclear autoantigenic sperm protein	CGDD	prolif.
92	AF035644	potentially prenylated protein tyrosine phosphatase mPRL-2 (Prl2)	CGDD	prolif.
93	AF035939	Mago-nashi homolog, proliferation-associated (Drosophila)	CGDD	prolif.
94	AF098068	CDC45-related protein	CGDD	prolif.
95	AJ223733	CDK2	CGDD	prolif.
96	AJ249987	mTAFII30	CGDD	prolif.
97	D26089	Mini chromosome maintenance deficient 4 homolog (S. cerevisiae)	CGDD	prolif.
98	D26090	mCDC46	CGDD	prolif.
99	D26091	mCDC47	CGDD	prolif.
100	D86725	mMCM2	CGDD	prolif.
101	M38724	Cell division cycle control protein 2a	CGDD	prolif.
102	M83749	Cyclin D2	CGDD	prolif.
103	U35141	retinoblastoma-binding protein (mRbAp48)	CGDD	prolif.
104	U73170	Polo-like kinase, pseudogene 1	CGDD	prolif.
105	X57800	Proliferating cell nuclear antigen	CGDD	prolif.
106	X66032	cyclin B2	CGDD	prolif.
107	X75483	Cyclin A2	CGDD	prolif.
108	X78683	B-cell receptor-associated protein 37	CGDD	prolif.
109	Y12474	centrin gene	CGDD	prolif.
110	Z47766	Cyclin F	CGDD	prolif.
111	AB027012	galK for galactokinase	CLAM	
112	AJ000059	Hyaluronidase 2	CLAM	
113	D29016	squalene synthase	CLAM	
114	D42048	squalene epoxidase	CLAM	
115	J03928	Phosphofructokinase, liver, B-type	CLAM	
116	L32836	S-adenosyl homocysteine hydrolase (ahcy)	CLAM	
117	U48971	class III alcohol dehydrogenase pseudogene	CLAM	
118	U57746	platelet-activating factor acetylhydrolase isoform Ib gamma	CLAM	
119	X61172	alpha-mannosidase II	CLAM	
120	U31966	Carbonyl reductase	CLAM	
121	U09816	GM2 activator protein (Gm2a)	CLAM	
122	U48403	Glycerol kinase	CLAM	
123	X83202	11beta-hydroxysteroid dehydrogenase/carbonyl reductase	CLAM	
124	Z11774	Fumarylacetoacetate hydrolase	CLAM	
125	D16333	coproporphyrinogen oxidase	CLAM	
126	M21285	Stearoyl-coenzyme A desaturase 1	CLAM	
127	M25558	Glycerolphosphate dehydrogenase 1, cytoplasmic adult	CLAM	
128	U37091	carbonic anhydrase IV	CLAM	
129	X98014	alpha-2,8-sialyltransferase	CLAM	
130	Y15003	beta-galactoside alpha-2,3-sialyltransferase	CLAM	
131	AB006361	prostaglandin D synthetase	CLAM	
132	AB017026	oxysterol-binding protein	CLAM	
133	AF006467	Phosphatidylinositol membrane-associated	CLAM	
134	AF019385	Heparan sulfate glucosaminyl 3-O-sulfotransferase	CLAM	
135	D10210	Dao-1d for D-amino-acid oxidase	CLAM	
136	J05154	Lecithin cholesterol acyltransferase	CLAM	
137	M25944	carbonic anhydrase II (CAII)	CLAM	
138	M74570	aldehyde dehydrogenase II	CLAM	
139	X82648	apolipoprotein D	CLAM	
140	U28960	Phospholipid transfer protein	CLAM	
141	AB020202	adenylate kinase isozyme 2	CLAM	
142	D29639	embryonal carcinoma cell for 3-hydroxyacyl CoA dehydrogenase	CLAM	
143	M28666	Hydroxymethylbilane synthase	CLAM	
144	U51167	Isocitrate dehydrogenase 2	CLAM	
145	X15986	beta-galactoside specific lectin	CLAM	
146	Y14004	acyl-CoA thioesterase	CLAM	
147	D50086	neuropilin	CSC	adhesion
148	D86950	Plexin 3	CSC	adhesion
149	M31131	Cadherin 2	CSC	adhesion
150	X15202	fibronectin receptor beta-chain (VLA5-homolog.)	CSC	adhesion
151	X56304	Tenascin C	CSC	adhesion
152	L25890	Eph receptor B2	CSC	adhesion
153	AJ245402	cdh15 gene for cadherin	CSC	adhesion
154	X16645	glial cell adhesion molecule (AMOG)	CSC	adhesion
155	M90365	Junction plakoglobin	CSC	adhesion
156	X59990	Catenin alpha 1	CSC	adhesion
157	M95408	Focal adhesion kinase	CSC	adhesion
158	U72634	UNC-5 homolog (C. elegans), netrin receptor	CSC	adhesion
159	U51196	APC-binding protein EB1 homolog	CSC	cytoskeleton
160	AF063231	Dynein, cytoplasmic, intermediate chain 2	CSC	cytoskeleton
161	L33726	Fascin 1	CSC	cytoskeleton
162	M13443	alpha-tubulin isotype M-alpha-7	CSC	cytoskeleton
163	M15501	Actin, alpha, cardiac	CSC	cytoskeleton
164	X04663	beta-tubulin (isotype Mbeta 5)	CSC	cytoskeleton
165	X05640	Neurofilament, medium polypeptide	CSC	cytoskeleton
166	L23769	Microfibril-associated glycoprotein	CSC	cytoskeleton
167	AF026489	Beta-spectrin 3	CSC	cytoskeleton
168	J04953	Gelsolin, actin-binding	CSC	cytoskeleton
169	M72414	Microtubule-associated protein 4 (MAP4)	CSC	cytoskeleton
170	M28730	Tubulin, beta 4	CSC	cytoskeleton
171	AF022110	integrin beta-5	CSC	cytoskeleton
172	M13444	alpha-tubulin isotype M-alpha-4	CSC	cytoskeleton
173	M35131	Neurofilament, heavy polypeptide	CSC	cytoskeleton
174	U76758	Ankyrin 1, erythroid	CSC	cytoskeleton
175	L29468	cofilin isoform	CSC	cytoskeleton
176	M12481	Actin, beta, cytoplasmic	CSC	cytoskeleton
177	U16740	actin capping protein alpha 1 subunit	CSC	cytoskeleton
178	X02801	Glial fibrillary acidic protein (GFAP)	CSC	cytoskeleton
179	X60671	ezrin, actin binding protein	CSC	cytoskeleton
180	L17324	Nidogen	CSC	other
181	L25274	transmembrane glycoprotein (DM-GRASP)	CSC	other
182	U03419	alpha-1 type I procollagen	CSC	other
183	X04647	Procollagen, type IV, alpha 2	CSC	other
184	X52046	Procollagen, type III, alpha 1	CSC	other
185	X58251	Procollagen, type I, alpha 2	CSC	other
186	X75285	Fibulin 2	CSC	other
187	Z18272	Procollagen, type VI, alpha 2	CSC	other
188	D45889	Chondroitin sulfate proteoglycan 2	CSC	other
189	M15832	Procollagen, type IV, alpha 1	CSC	other
190	AA245183	5' end /clone=IMAGE-672060	EST	
191	AA260139	5' end /clone=IMAGE-733526	EST	
192	AA655369	5' end /clone=IMAGE-1139207	EST	
193	AA655823	5' end /clone=IMAGE-1149493	EST	
194	AA656757	5' end /clone=IMAGE-1124068	EST	
195	AA657164	5' end /clone=IMAGE-1121785	EST	
196	AA673769	5' end /clone=IMAGE-1151096	EST	
197	AA681862	5' end /clone=IMAGE-1123474	EST	
198	AA711773	5' end /clone=IMAGE-1195640	EST	
199	AA739415	5' end /clone=IMAGE-1226112	EST	
200	AA756292	5' end /clone=IMAGE-1224902	EST	
201	AA763466	5' end /clone=IMAGE-1247649	EST	
202	AA791962	5' end /clone=IMAGE-1151201	EST	
203	AA870917	5' end /clone=IMAGE-1095538	EST	
204	AA881160	5' end /clone=IMAGE-1314987	EST	
205	AA920419	5' end /clone=IMAGE-1327576	EST	
206	AI036894	5' end /clone=IMAGE-1746016	EST	
207	AI043090	3' end /clone=IMAGE-1432548	EST	
208	AI152779	5' end /clone=IMAGE-1478200	EST	
209	AI152780	5' end /clone=IMAGE-1478202	EST	
210	AI194274	5' end /clone=IMAGE-1851276	EST	
211	AI197431	5' end /clone=IMAGE-1851204	EST	
212	AI414025	3' end /clone=IMAGE-303416	EST	
213	AI461767	3' end /clone=IMAGE-1383906	EST	
214	AI463460	3' end /clone=IMAGE-1248370	EST	
215	AI553463	3' end /clone=IMAGE-1247856	EST	
216	AI607813	3' end /clone=IMAGE-1381964	EST	
217	AI645561	3' end /clone=IMAGE-1179231	EST	
218	AI647493	3' end /clone=IMAGE-1971699	EST	
219	AI648965	3' end /clone=IMAGE-1970807	EST	
220	AI835409	3' end /clone=UI-M-AQ0-aaj-d-08-0-UI	EST	
221	AI836214	3' end /clone=UI-M-AP0-abg-a-02-0-UI	EST	
222	AI837100	3' end /clone=UI-M-AK0-adc-d-02-0-UI	EST	
223	AI838080	3' end /clone=UI-M-AL0-abv-e-12-0-UI	EST	
224	AI838636	3' end /clone=UI-M-AO0-aca-a-10-0-UI	EST	
225	AI839876	3' end /clone=UI-M-AH0-acw-b-05-0-UI	EST	
226	AI839946	3' end /clone=UI-M-AH0-acs-a-04-0-UI	EST	
227	AI841235	3' end /clone=UI-M-AM0-adu-a-05-0-UI	EST	
228	AI841497	3' end /clone=UI-M-AH0-acy-d-12-0-UI	EST	
229	AI841629	3' end /clone=UI-M-AO0-acg-c-01-0-UI	EST	
230	AI841808	3' end /clone=UI-M-AN0-acl-h-05-0-UI	EST	
231	AI841906	3' end /clone=UI-M-AO0-acd-e-10-0-UI	EST	
232	AI842562	3' end /clone=UI-M-AQ1-aea-g-06-0-UI	EST	
233	AI842600	3' end /clone=UI-M-AQ1-aed-b-08-0-UI	EST	
234	AI842665	3' end /clone=UI-M-AO1-aeo-a-02-0-UI	EST	
235	AI843119	3' end /clone=UI-M-AK1-aes-f-05-0-UI	EST	
236	AI843358	3' end /clone=UI-M-AQ1-adz-d-04-0-UI	EST	
237	AI843682	3' end /clone=UI-M-AK1-aer-c-04-0-UI	EST	
238	AI843937	3' end /clone=UI-M-AP1-agh-b-10-0-UI	EST	
239	AI844011	3' end /clone=UI-M-AL1-ahi-b-01-0-UI	EST	
240	AI844597	3' end /clone=UI-M-AJ1-ahh-c-06-0-UI	EST	
241	AI845293	3' end /clone=UI-M-BG0-ahw-f-04-0-UI	EST	
242	AI845581	3' end /clone=UI-M-AQ1-adx-c-02-0-UI	EST	
243	AI845915	3' end /clone=UI-M-AK1-aex-d-02-0-UI	EST	
244	AI846236	3' end /clone=UI-M-AM1-agb-h-11-0-UI	EST	
245	AI846279	3' end /clone=UI-M-AK1-aez-e-04-0-UI	EST	
246	AI846392	3' end /clone=UI-M-AN1-afa-h-02-0-UI	EST	
247	AI848107	3' end /clone=UI-M-AP1-agk-e-09-0-UI	EST	
248	AI848471	3' end /clone=UI-M-AH1-ags-h-12-0-UI	EST	
249	AI848508	3' end /clone=UI-M-AP1-agf-d-04-0-UI	EST	
250	AI849453	3' end /clone=UI-M-AJ1-ahc-h-03-0-UI	EST	
251	AI849928	3' end /clone=UI-M-BG0-ahz-e-10-0-UI	EST	
252	AI849993	3' end /clone=UI-M-BG0-aib-d-11-0-UI	EST	
253	AI851199	3' end /clone=UI-M-BH0-ajx-e-10-0-UI	EST	
254	AI851454	3' end /clone=UI-M-BH0-akj-f-07-0-UI	EST	
255	AI851574	3' end /clone=UI-M-BH0-aki-f-10-0-UI	EST	
256	AI852210	3' end /clone=UI-M-BH0-ajc-d-04-0-UI	EST	
257	AI852553	3' end /clone=UI-M-BH0-aiw-g-02-0-UI	EST	
258	AI852623	3' end /clone=UI-M-BH0-aiu-e-12-0-UI	EST	
259	AI852661	3' end /clone=UI-M-BH0-aji-a-10-0-UI	EST	
260	AI852734	3' end /clone=UI-M-BH0-aji-h-02-0-UI	EST	
261	AI853789	3' end /clone=UI-M-BH0-ajg-f-10-0-UI	EST	
262	AI854202	3' end /clone=UI-M-BH0-ajz-d-08-0-UI	EST	
263	AI854248	3' end /clone=UI-M-BH0-ajz-h-11-0-UI	EST	
264	AI854774	3' end /clone=UI-M-BH0-aka-d-01-0-UI	EST	
265	AV161034	3' end /clone=3010061K08	EST	
266	AW045247	3' end /clone=UI-M-BH1-alh-h-05-0-UI	EST	
267	AW045474	3' end /clone=UI-M-BH1-akr-c-02-0-UI	EST	
268	AW045533	3' end /clone=UI-M-BH1-aks-c-08-0-UI	EST	
269	AW045665	3' end /clone=UI-M-BH1-alg-h-11-0-UI	EST	
270	AW046160	3' end /clone=UI-M-BH1-akw-b-02-0-UI	EST	
271	AW046775	3' end /clone=UI-M-BH1-alt-h-01-0-UI	EST	
272	AW047746	3' end /clone=UI-M-BH1-alk-b-11-0-UI	EST	
273	AW048132	3' end /clone=UI-M-BH1-alq-f-07-0-UI	EST	
274	AW048155	3' end /clone=UI-M-BH1-alq-h-08-0-UI	EST	
275	AW048282	3' end /clone=UI-M-BH1-aly-f-04-0-UI	EST	
276	AW048812	3' end /clone=UI-M-BH1-amg-e-09-0-UI	EST	
277	AW048899	3' end /clone=UI-M-BH1-amf-h-03-0-UI	EST	
278	AW050287	3' end /clone=UI-M-BH1-ans-f-01-0-UI	EST	
279	AW060186	3' end /clone=UI-M-BH1-amu-e-06-0-UI	EST	
280	AW060791	3' end /clone=UI-M-BH1-anu-f-12-0-UI	EST	
281	AW060956	3' end /clone=UI-M-BH1-anv-g-02-0-UI	EST	
282	AW061042	3' end /clone=UI-M-BH1-akk-b-09-0-UI	EST	
283	AW107230	3' end /clone=IMAGE-2182877	EST	
284	AW120625	3' end /clone=UI-M-BH2.3-anz-a-01-0-UI	EST	
285	AW120867	3' end /clone=UI-M-BH2.3-aoa-g-06-0-UI	EST	
286	AW121710	3' end /clone=UI-M-BH2.3-aoc-g-11-0-UI	EST	
287	AW121930	3' end /clone=UI-M-BH2.3-aoj-d-12-0-UI	EST	
288	AW122732	3' end /clone=UI-M-BH2.2-aot-e-09-0-UI	EST	
289	AW122942	3' end /clone=UI-M-BH2.1-aoz-a-11-0-UI	EST	
290	AW122965	3' end /clone=UI-M-BH2.1-aoz-g-11-0-UI	EST	
291	AW122989	3' end /clone=UI-M-BH2.1-apb-b-08-0-UI	EST	
292	AW123294	3' end /clone=UI-M-BH2.1-apg-h-02-0-UI	EST	
293	AW123850	3' end /clone=UI-M-BH2.1-app-b-03-0-UI	EST	
294	AW124113	3' end /clone=UI-M-BH2.1-apr-b-09-0-UI	EST	
295	AW124153	3' end /clone=UI-M-BH2.1-apr-f-10-0-UI	EST	
296	AW124186	3' end /clone=UI-M-BH2.1-aph-a-05-0-UI	EST	
297	AW124544	3' end /clone=UI-M-BH2.1-apo-h-11-0-UI	EST	
298	AW124626	3' end /clone=UI-M-BH2.1-apw-b-07-0-UI	EST	
299	AW124932	3' end /clone=UI-M-BH2.1-apu-g-09-0-UI	EST	
300	AW125218	3' end /clone=UI-M-BH2.1-aps-c-06-0-UI	EST	
301	AW125506	3' end /clone=UI-M-BH2.2-aqm-e-08-0-UI	EST	
302	AW125627	3' end /clone=UI-M-BH2.2-aqj-h-03-0-UI	EST	
303	AW125724	3' end /clone=UI-M-BH2.2-aql-d-12-0-UI	EST	
304	AW209763	5' end /clone=IMAGE-2101410	EST	
305	AW212479	3' end /clone=IMAGE-2649714	EST	
306	AW215059	5' end /clone=IMAGE-2651214	EST	
307	AW228429	5' end /clone=IMAGE-2655096	EST	
308	AW231026	5' end /clone=IMAGE-2647848	EST	
309	N28179	3' end	EST	
310	AA111360	5' end /clone=IMAGE-554879	EST	
311	AA726223	5' end /clone=IMAGE-1193757	EST	
312	AA727410	5' end /clone=IMAGE-1210334	EST	
313	AA763874	5' end /clone=IMAGE-1225630	EST	
314	AA796690	5' end /clone=IMAGE-1068670	EST	
315	AI006698	5' end /clone=IMAGE-1362566	EST	
316	AI042802	3' end /clone=IMAGE-1432333	EST	
317	AI835567	3' end /clone=UI-M-AQ0-aai-c-10-0-UI	EST	
318	AI836349	3' end /clone=UI-M-AQ0-aag-h-07-0-UI	EST	
319	AI838053	3' end /clone=UI-M-AL0-abv-c-03-0-UI	EST	
320	AI840149	3' end /clone=UI-M-AO0-acc-c-09-0-UI	EST	
321	AI844417	3' end /clone=UI-M-AL1-ahp-g-02-0-UI	EST	
322	AI844631	3' end /clone=UI-M-AL1-ahr-a-10-0-UI	EST	
323	AI847483	3' end /clone=UI-M-AI1-afs-g-03-0-UI	EST	
324	AI851013	3' end /clone=UI-M-BH0-ajv-c-07-0-UI	EST	
325	AI987985	3' end /clone=IMAGE-2182632	EST	
326	AV379327	3' end /clone=9230005E14	EST	
327	AW048174	3' end /clone=UI-M-BH1-amc-b-12-0-UI	EST	
328	AW048937	3' end /clone=UI-M-BH1-amo-d-08-0-UI	EST	
329	AW049351	3' end /clone=UI-M-BH1-amr-h-10-0-UI	EST	
330	AW060510	3' end /clone=UI-M-BH1-ann-d-01-0-UI	EST	
331	AW107463	3' end /clone=IMAGE-2192542	EST	
332	AW120511	3' end /clone=UI-M-BH1-ana-a-04-0-UI	EST	
333	AW120767	3' end /clone=UI-M-BH2.3-any-f-01-0-UI	EST	
334	AW121496	3' end /clone=UI-M-BH2.2-aop-a-06-0-UI	EST	
335	AW121661	3' end /clone=UI-M-BH2.3-aoc-c-07-0-UI	EST	
336	AW123852	3' end /clone=UI-M-BH2.1-app-b-06-0-UI	EST	
337	R75193	3' end	EST	
338	AA189890	5' end /clone=IMAGE-643293	EST	
339	AA518586	5' end /clone=IMAGE-901986	EST	
340	AA690483	5' end /clone=IMAGE-1195043	EST	
341	AI118078	3' end /clone=IMAGE-1885742	EST	
342	AI837497	3' end /clone=UI-M-AL0-abr-g-08-0-UI	EST	
343	AI837921	3' end /clone=UI-M-AL0-abq-d-08-0-UI	EST	
344	AI838513	3' end /clone=UI-M-AL0-abp-h-01-0-UI	EST	
345	AI839662	3' end /clone=UI-M-AN0-acp-b-01-0-UI	EST	
346	AI839697	3' end /clone=UI-M-AN0-acp-f-01-0-UI	EST	
347	AI839988	3' end /clone=UI-M-AH0-acs-e-11-0-UI	EST	
348	AI840267	3' end /clone=UI-M-AH0-act-e-08-0-UI	EST	
349	AI843108	3' end /clone=UI-M-AK1-aes-e-04-0-UI	EST	
350	AI844246	3' end /clone=UI-M-AL1-ahk-g-06-0-UI	EST	
351	AI844664	3' end /clone=UI-M-AL1-ahr-d-11-0-UI	EST	
352	AI845321	3' end /clone=UI-M-BG0-ahx-a-04-0-UI	EST	
353	AI846165	3' end /clone=UI-M-AM1-agb-b-03-0-UI	EST	
354	AI848386	3' end /clone=UI-M-AH1-ago-g-03-0-UI	EST	
355	AI850387	3' end /clone=UI-M-BG1-aig-e-04-0-UI	EST	
